State,County,Provisional Drug Overdose Deaths,"Bachelor's degree or higher, 2021","High school diploma only, 2021","Less than a high school diploma, 2021",NET_MIG_2021,N_POP_CHG_2021,Civilian_labor_force_2021,Median_Household_Income_2021,Unemployment_rate_2021
WV,Monroe,75.0,1367.0,4808.0,1060.0,101.0,3.0,6022.0,47344.0,3.8
WV,Morgan,169.0,2520.0,5662.0,1367.0,326.0,193.0,8395.0,58460.0,3.6
WV,Nicholas,102.0,2904.0,8847.0,2047.0,10.0,-139.0,8979.0,47186.0,6.0
WV,Ohio,474.0,9934.0,9841.0,2097.0,-141.0,-460.0,20107.0,53560.0,5.2
WV,Pendleton,0.0,777.0,2421.0,798.0,27.0,-54.0,3720.0,48035.0,3.1
WV,Pleasants,0.0,664.0,2683.0,602.0,-8.0,-40.0,2672.0,53712.0,7.1
WV,Preston,67.0,4276.0,12281.0,3313.0,257.0,83.0,15400.0,57174.0,4.6
WV,Putnam,331.0,10807.0,14775.0,3051.0,116.0,-77.0,26581.0,66946.0,4.3
WV,Raleigh,1229.0,10602.0,21319.0,7203.0,-26.0,-585.0,29480.0,42525.0,5.3
WV,Summers,211.0,1632.0,3901.0,1481.0,75.0,-47.0,4459.0,40704.0,4.8
WV,Taylor,104.0,1973.0,5396.0,1415.0,-92.0,-201.0,7782.0,51580.0,4.7
WV,Upshur,10.0,2665.0,8299.0,2149.0,96.0,7.0,9629.0,49704.0,6.2
WV,Wayne,578.0,4858.0,10780.0,5169.0,-52.0,-331.0,15399.0,49227.0,5.2
WV,Wood,546.0,13170.0,21147.0,5639.0,70.0,-351.0,35974.0,53435.0,5.4
WV,Wyoming,332.0,1825.0,7328.0,3541.0,-115.0,-326.0,6980.0,37522.0,5.9
